,Temp_avg,Temp_min,Dew_max,Dew_avg,Dew_min,Hum_max,Hum_avg,Hum_min,Wind_max,Wind_avg,Wind_min,Pres_max,Pres_avg,Pres_min,Precipitation,Date
29,40.6,32,28,19.1,14,57,43.4,25,25,20.1,15,30.1,30.0,29.9,0.00,2020-03-30
30,44.6,36,36,32.0,27,93,63.7,38,18,13.9,9,30.0,29.9,29.9,0.00,2020-03-31
0,45.5,36,28,25.9,21,65,47.7,30,13,8.2,0,29.9,29.8,29.7,0.00,2020-04-01
1,44.6,34,37,31.0,25,87,60.5,41,12,8.2,5,29.7,29.7,29.6,0.00,2020-04-02
2,50.3,43,45,40.2,36,87,70.2,48,9,4.8,1,29.8,29.7,29.7,0.00,2020-04-03
3,52.4,39,43,37.2,34,93,60.3,34,14,5.4,0,29.8,29.8,29.8,0.00,2020-04-04
4,57.6,43,41,35.4,28,76,47.1,20,13,5.6,0,29.8,29.7,29.6,0.00,2020-04-05
5,54.5,50,52,42.1,32,94,66.2,36,15,7.0,0,29.9,29.8,29.6,0.00,2020-04-06
6,60.9,52,54,48.8,41,100,69.2,33,13,6.6,0,30.0,30.0,29.9,0.00,2020-04-07
7,61.9,46,50,44.0,39,87,54.0,33,9,2.8,0,29.9,29.9,29.8,0.00,2020-04-08
8,62.7,45,46,42.8,37,93,53.9,24,10,3.7,0,29.9,29.9,29.8,0.00,2020-04-09
9,64.8,48,50,42.4,39,82,47.7,26,12,4.8,0,29.9,29.9,29.8,0.00,2020-04-10
10,65.1,54,52,45.9,41,72,52.0,29,6,3.2,0,29.8,29.8,29.8,0.00,2020-04-11
11,64.5,52,48,44.1,39,82,49.4,26,17,5.3,0,29.8,29.6,29.5,0.00,2020-04-12
12,57.2,48,50,42.5,30,77,58.5,44,23,14.3,2,29.8,29.7,29.6,0.00,2020-04-13
13,47.3,37,32,29.2,27,70,51.2,38,18,14.5,8,29.9,29.9,29.9,0.00,2020-04-14
14,53.3,39,34,31.3,28,70,45.6,28,14,9.4,1,29.9,29.8,29.7,0.00,2020-04-15
15,61.2,48,52,44.8,34,76,55.9,41,10,4.5,0,29.7,29.6,29.6,0.00,2020-04-16
16,64.0,54,54,50.3,46,82,63.3,36,12,4.8,0,29.6,29.6,29.6,0.00,2020-04-17
17,64.7,57,55,51.7,48,88,64.3,38,13,7.8,1,29.7,29.6,29.6,0.00,2020-04-18
18,60.1,55,54,50.9,48,94,72.7,49,15,11.0,2,29.7,29.6,29.6,0.00,2020-04-19
19,60.9,52,50,45.8,37,88,60.8,39,17,12.4,8,29.6,29.5,29.4,0.00,2020-04-20
20,59.6,50,45,39.6,36,58,47.8,40,14,10.4,6,29.6,29.5,29.5,0.00,2020-04-21
21,62.5,52,45,40.9,36,63,46.0,35,13,7.8,0,29.7,29.6,29.6,0.00,2020-04-22
22,65.3,50,45,42.1,37,76,46.2,23,7,3.0,0,29.7,29.7,29.6,0.00,2020-04-23
23,64.6,52,54,47.8,39,82,55.5,40,10,5.4,0,29.7,29.6,29.5,0.00,2020-04-24
24,61.2,54,45,41.7,37,63,49.3,33,10,8.2,3,29.6,29.5,29.5,0.00,2020-04-25
25,58.4,45,43,37.2,28,81,49.8,21,9,5.4,0,29.6,29.5,29.5,0.00,2020-04-26
26,61.0,46,55,46.2,37,88,60.3,36,14,5.5,0,29.5,29.4,29.3,0.00,2020-04-27
27,59.2,55,55,49.8,43,94,72.8,46,20,11.1,2,29.4,29.3,29.3,0.00,2020-04-28
28,54.8,50,54,48.4,45,94,80.5,55,18,10.6,2,29.5,29.4,29.3,0.00,2020-04-29
29,52.1,48,50,45.9,43,94,80.3,59,24,13.0,2,29.3,29.3,29.2,0.00,2020-04-30
0,54.2,46,50,45.6,39,94,75.1,45,18,12.8,6,29.5,29.3,29.3,0.00,2020-05-01
1,54.2,43,45,40.9,37,87,62.7,39,13,7.4,2,29.7,29.6,29.5,0.00,2020-05-02
2,56.7,50,59,49.5,39,94,77.5,62,10,4.3,0,29.7,29.7,29.6,0.00,2020-05-03
3,59.3,52,55,52.6,50,100,79.5,59,15,6.6,2,29.7,29.7,29.6,0.00,2020-05-04
4,55.2,52,50,46.8,45,88,74.3,63,17,10.1,2,29.8,29.6,29.6,0.00,2020-05-05
5,60.7,54,48,41.6,32,77,52.0,30,10,7.1,2,29.9,29.8,29.8,0.00,2020-05-06
6,60.1,43,43,38.6,36,87,48.3,28,8,3.6,0,29.9,29.8,29.8,0.00,2020-05-07
7,63.6,46,52,45.5,41,82,53.9,34,9,3.6,0,29.8,29.7,29.6,0.00,2020-05-08
8,65.8,61,61,58.4,54,94,77.7,57,14,4.6,0,29.6,29.5,29.4,0.00,2020-05-09
9,63.6,57,63,59.2,55,100,86.9,57,17,6.4,0,29.4,29.3,29.3,0.00,2020-05-10
10,50.1,43,55,38.0,32,94,66.3,38,26,21.3,15,29.7,29.4,29.3,0.00,2020-05-11
11,49.6,41,36,32.5,30,70,52.4,38,18,12.4,8,29.8,29.7,29.6,0.00,2020-05-12
12,52.1,43,39,35.4,34,70,53.8,39,21,14.7,7,29.6,29.5,29.5,0.00,2020-05-13
13,51.1,41,37,34.1,32,70,53.6,38,21,15.3,9,29.7,29.6,29.6,0.00,2020-05-14
14,54.0,43,37,35.3,30,71,50.7,36,17,12.6,6,29.8,29.8,29.7,0.00,2020-05-15
15,57.3,45,43,38.9,36,76,51.9,37,13,7.5,2,29.9,29.9,29.8,0.00,2020-05-16
16,58.9,45,45,41.3,37,81,53.7,35,9,5.9,2,29.9,29.9,29.9,0.00,2020-05-17
17,58.5,0,48,42.4,0,87,52.3,0,12,5.4,0,29.9,28.0,0.0,0.00,2020-05-18
18,62.3,0,54,45.2,0,71,52.9,0,10,6.4,0,29.9,29.3,0.0,0.00,2020-05-19
19,69.4,55,57,53.7,50,82,59.5,42,10,6.2,3,29.9,29.8,29.8,0.00,2020-05-20
20,72.8,57,61,56.6,54,88,59.2,39,8,3.4,0,29.8,29.8,29.8,0.00,2020-05-21
21,69.5,63,61,57.3,52,83,66.1,47,16,8.3,2,29.8,29.8,29.7,0.00,2020-05-22
22,61.4,54,57,47.0,39,88,62.0,35,16,9.8,2,30.1,30.0,29.8,0.00,2020-05-23
23,59.9,50,50,46.9,43,87,63.2,46,13,7.5,2,30.2,30.1,30.1,0.00,2020-05-24
24,64.9,52,52,48.8,46,88,57.9,38,12,6.7,0,30.2,30.2,30.1,0.00,2020-05-25
25,67.7,55,52,48.2,45,77,51.7,34,15,9.4,2,30.2,30.2,30.1,0.00,2020-05-26
26,69.3,57,52,49.2,46,72,49.9,38,15,8.8,5,30.2,30.1,30.1,0.00,2020-05-27
27,66.4,55,52,45.6,37,68,48.4,27,15,11.1,8,30.1,30.0,29.9,0.00,2020-05-28
28,66.8,55,43,39.8,37,54,38.3,25,16,11.5,5,29.9,29.9,29.8,0.00,2020-05-29
29,67.7,57,45,44.0,43,63,43.1,29,14,7.7,1,29.8,29.8,29.7,0.00,2020-05-30
30,66.3,55,43,42.2,39,59,42.3,31,17,9.9,3,29.8,29.7,29.7,0.00,2020-05-31
0,68.8,57,50,45.9,43,63,45.3,30,15,8.4,0,29.8,29.7,29.7,0.00,2020-06-01
1,72.7,57,54,49.1,45,82,47.3,25,12,4.9,1,29.7,29.6,29.6,0.00,2020-06-02
2,70.7,59,57,52.5,50,88,54.3,34,22,7.4,3,29.6,29.4,29.2,0.00,2020-06-03
3,57.4,54,57,52.4,48,100,83.8,63,15,7.8,0,29.3,29.2,29.2,0.00,2020-06-04
4,56.4,52,54,48.3,46,88,75.8,56,21,12.9,7,29.3,29.2,29.2,0.00,2020-06-05
5,57.8,50,52,43.9,36,94,64.1,37,17,12.2,5,29.4,29.3,29.3,0.00,2020-06-06
6,57.5,48,52,45.4,37,82,65.5,46,12,6.1,2,29.6,29.5,29.4,0.00,2020-06-07
7,59.0,52,52,48.9,46,88,70.1,56,16,9.5,3,29.7,29.6,29.6,0.00,2020-06-08
8,58.0,54,48,46.3,45,82,67.3,49,13,9.0,5,29.8,29.7,29.7,0.00,2020-06-09
9,59.3,48,50,46.5,43,87,64.9,40,15,5.7,2,29.8,29.6,29.6,0.00,2020-06-10
10,62.4,54,57,51.4,48,94,70.5,41,15,6.4,0,29.6,29.4,29.3,0.00,2020-06-11
11,61.6,57,57,55.5,54,100,82.0,60,16,9.3,3,29.4,29.3,29.2,0.00,2020-06-12
12,64.2,54,57,53.2,50,100,69.9,44,16,7.9,2,29.6,29.5,29.4,0.00,2020-06-13
13,63.4,55,57,54.1,54,94,72.1,53,12,7.5,5,29.7,29.7,29.6,0.00,2020-06-14
14,63.0,55,59,55.4,52,100,78.0,50,14,8.2,2,29.8,29.7,29.7,0.00,2020-06-15
15,63.1,55,59,55.0,52,100,77.2,53,13,7.2,3,29.7,29.6,29.6,0.00,2020-06-16
16,62.4,55,57,54.3,50,94,75.8,53,9,5.2,0,29.6,29.6,29.5,0.00,2020-06-17
17,62.6,55,57,54.0,52,88,74.0,56,15,8.8,3,29.6,29.6,29.5,0.00,2020-06-18
